id,denominacion_social_real,tipo_entidad,region_sede,cartera_estimada_mxn,tier_pricing_objetivo,competidor_actual,puntos_dolor_clave,estatus_funnel_mes1,contacto_target_role,prioridad_score
81,"Agropecuario Apoyo de Occidente, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$45,000,000 MXN",Tier Mid-Market ($42k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
82,"Agroservicios Financieros Atlas, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$55,000,000 MXN",Tier Multi-producto ($83k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
83,"Agrosoluciones VR, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$65,000,000 MXN",Tier Enterprise ($200k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
84,"Agrumnostro de México, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$75,000,000 MXN",Tier Startup ($20k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
85,"Ags Capital, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$85,000,000 MXN",Tier Mid-Market ($42k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
86,"Ahora Más, Alternativas, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Mérida, YUC","$95,000,000 MXN",Tier Multi-producto ($83k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
87,"Ahora Tú, Más, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$105,000,000 MXN",Tier Enterprise ($200k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
88,"Ainmtec, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$115,000,000 MXN",Tier Startup ($20k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
89,"Aion Sigma, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$125,000,000 MXN",Tier Mid-Market ($42k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
90,"Akkadian Capital, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$135,000,000 MXN",Tier Multi-producto ($83k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
91,"Aktiva Financiera, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$145,000,000 MXN",Tier Enterprise ($200k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
92,"Alana Capital, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$155,000,000 MXN",Tier Startup ($20k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
93,"Alatadra, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$165,000,000 MXN",Tier Mid-Market ($42k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
94,"Albedia Empresarial, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$175,000,000 MXN",Tier Multi-producto ($83k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
95,"Alcana Capital, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Mérida, YUC","$185,000,000 MXN",Tier Enterprise ($200k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
96,"Alcancía Digital MX, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$195,000,000 MXN",Tier Startup ($20k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
97,"Aldej, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$205,000,000 MXN",Tier Mid-Market ($42k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
98,"Alderiva de México, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$215,000,000 MXN",Tier Multi-producto ($83k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
99,"Aledart, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$225,000,000 MXN",Tier Enterprise ($200k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
100,"Alegra Servicios Financieros, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$235,000,000 MXN",Tier Startup ($20k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
101,"Alend, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$245,000,000 MXN",Tier Mid-Market ($42k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
102,"Alfil RDH , S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$255,000,000 MXN",Tier Multi-producto ($83k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
103,"Aliado Patrimonial, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$265,000,000 MXN",Tier Enterprise ($200k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
104,"Alianza Familiar, S.A.P.I. de C.V., SOFOM, E.N.R",SOFOM ENR / Arrendadora,"Mérida, YUC","$275,000,000 MXN",Tier Startup ($20k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
105,"Alianza Pongo, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$285,000,000 MXN",Tier Mid-Market ($42k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
106,"Alifin Capital, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$295,000,000 MXN",Tier Multi-producto ($83k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
107,"Alivio Capital, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$305,000,000 MXN",Tier Enterprise ($200k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
108,"Alka Capitals, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$315,000,000 MXN",Tier Startup ($20k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
109,"Almirante Capital, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$325,000,000 MXN",Tier Mid-Market ($42k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
110,"Alpez, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$335,000,000 MXN",Tier Multi-producto ($83k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
111,"AlphaCredit Capital,S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$345,000,000 MXN",Tier Enterprise ($200k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
112,"Alphalions, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$355,000,000 MXN",Tier Startup ($20k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
113,"Alra del Sur Asesoría Hipotecaria, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Mérida, YUC","$365,000,000 MXN",Tier Mid-Market ($42k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
114,"Alsol Contigo, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$375,000,000 MXN",Tier Multi-producto ($83k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
115,"Alta Capital, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$385,000,000 MXN",Tier Enterprise ($200k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
116,"Alta Dirección Gerencial, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$395,000,000 MXN",Tier Startup ($20k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
117,"Alta Eficiencia MG, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$405,000,000 MXN",Tier Mid-Market ($42k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
118,"Alta650, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$415,000,000 MXN",Tier Multi-producto ($83k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
119,"Altar CI Solutions, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$425,000,000 MXN",Tier Enterprise ($200k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
120,"Alterdefi, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$35,000,000 MXN",Tier Startup ($20k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
121,"Alterna Capital, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$45,000,000 MXN",Tier Mid-Market ($42k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
122,"Alternativa Financiera Prosesa, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Mérida, YUC","$55,000,000 MXN",Tier Multi-producto ($83k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
123,"Alternativa Financiera para el Desarrollo, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$65,000,000 MXN",Tier Enterprise ($200k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
124,"Alternativa Mexicana de Negocios CYG, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$75,000,000 MXN",Tier Startup ($20k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
125,"Alternativa Oportuna, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$85,000,000 MXN",Tier Mid-Market ($42k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
126,"Alternativa en Negocios de Oportunidad, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$95,000,000 MXN",Tier Multi-producto ($83k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
127,"Alternativa más Expansión AME, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$105,000,000 MXN",Tier Enterprise ($200k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
128,"Alternativas Atzin, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$115,000,000 MXN",Tier Startup ($20k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
129,"Alternativas Financieras para tu Bienestar, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$125,000,000 MXN",Tier Mid-Market ($42k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
130,"Alternativas de Capital para el Desarrollo S.A.P.I. de C.V., SOFOM., E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$135,000,000 MXN",Tier Multi-producto ($83k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
131,"Altfin Integral, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Mérida, YUC","$145,000,000 MXN",Tier Enterprise ($200k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
132,"Alto Impacto Rural, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$155,000,000 MXN",Tier Startup ($20k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
133,"Altum CP, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$165,000,000 MXN",Tier Mid-Market ($42k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
134,"Alux Capital, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$175,000,000 MXN",Tier Multi-producto ($83k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
